基隆逐時潮位觀測資料
位置：25°09'18"N 121°45'08"E； 基隆港西33號碼頭
儀器型式：Aquatrak 4100 series 超音波式
潮高基準相對臺灣高程基準(TWVD2001):+0.000cm
資料來源：氣象局              
yyyymmddhh：西元年月日時
height：潮高
潮高單位：公厘。
時間不連續，表示缺觀測資料。
時間：民國103年1月－民國103年12月
**************************
*st    yyyymmddhh height
1516   2014010100  -494 Q
1516   2014010101  -761 Q
1516   2014010102  -861 Q
1516   2014010103  -852 Q
1516   2014010104  -743 Q
1516   2014010105  -531 Q
1516   2014010106  -308 Q
1516   2014010107   -75 Q
1516   2014010108   136 Q
1516   2014010109   266 Q
1516   2014010110   341 Q
1516   2014010111   293 Q
1516   2014010112   196 Q
1516   2014010113    56 Q
1516   2014010114   -47 Q
1516   2014010115   -53 Q
1516   2014010116    -5 Q
1516   2014010117    45 Q
1516   2014010118   118 Q
1516   2014010119   173 Q
1516   2014010120   187 Q
1516   2014010121   159 Q
1516   2014010122    95 Q
1516   2014010123   -57 Q
1516   2014010200  -335 Q
1516   2014010201  -592 Q
1516   2014010202  -833 Q
1516   2014010203  -917 Q
1516   2014010204  -848 Q
1516   2014010205  -698 Q
1516   2014010206  -457 Q
1516   2014010207  -197 Q
1516   2014010208    24 Q
1516   2014010209   234 Q
1516   2014010210   370 Q
1516   2014010211   378 Q
1516   2014010212   353 Q
1516   2014010214    90 Q
1516   2014010215    13 Q
1516   2014010216    27 Q
1516   2014010217    65 Q
1516   2014010218   118 Q
1516   2014010219   207 Q
1516   2014010220   269 Q
1516   2014010221   258 Q
1516   2014010222   240 Q
1516   2014010223   139 Q
1516   2014010300   -47 Q
1516   2014010301  -345 Q
1516   2014010302  -627 Q
1516   2014010303  -813 Q
1516   2014010304  -899 Q
1516   2014010305  -816 Q
1516   2014010306  -627 Q
1516   2014010307  -389 Q
1516   2014010308  -130 Q
1516   2014010309   102 Q
1516   2014010310   260 Q
1516   2014010311   353 Q
1516   2014010312   391 Q
1516   2014010314   147 Q
1516   2014010315    44 Q
1516   2014010316   -17 Q
1516   2014010317     1 Q
1516   2014010318    45 Q
1516   2014010319   108 Q
1516   2014010320   182 Q
1516   2014010321   257 Q
1516   2014010323   240 Q
1516   2014010400   142 Q
1516   2014010401   -83 Q
1516   2014010402  -350 Q
1516   2014010403  -623 Q
1516   2014010404  -743 Q
1516   2014010405  -756 Q
1516   2014010406  -648 Q
1516   2014010407  -487 Q
1516   2014010408  -245 Q
1516   2014010409   -17 Q
1516   2014010410   218 Q
1516   2014010411   364 Q
1516   2014010412   433 Q
1516   2014010413   396 Q
1516   2014010414   258 Q
1516   2014010415    92 Q
1516   2014010416   -40 Q
1516   2014010417   -73 Q
1516   2014010501    82 Q
1516   2014010502  -152 Q
1516   2014010503  -376 Q
1516   2014010504  -612 Q
1516   2014010505  -706 Q
1516   2014010506  -719 Q
1516   2014010507  -638 Q
1516   2014010508  -499 Q
1516   2014010509  -290 Q
1516   2014010510   -63 Q
1516   2014010511   119 Q
1516   2014010516   -19 Q
1516   2014010517  -145 Q
1516   2014010518  -215 Q
1516   2014010519  -249 Q
1516   2014010520  -225 Q
1516   2014010521  -154 Q
1516   2014010522   -47 Q
1516   2014010523    11 Q
1516   2014010600    67 Q
1516   2014010601    53 Q
1516   2014010602    -2 Q
1516   2014010603  -182 Q
1516   2014010604  -366 Q
1516   2014010605  -507 Q
1516   2014010606  -627 Q
1516   2014010607  -628 Q
1516   2014010608  -584 Q
1516   2014010609  -416 Q
1516   2014010610  -212 Q
1516   2014010611   -13 Q
1516   2014010612   152 Q
1516   2014010613   258 Q
1516   2014010614   285 Q
1516   2014010615   236 Q
1516   2014010616    82 Q
1516   2014010617   -58 Q
1516   2014010618  -167 Q
1516   2014010619  -236 Q
1516   2014010620  -265 Q
1516   2014010621  -265 Q
1516   2014010622  -179 Q
